BT1	144.70	13.97	180.00	EDGE-LIBRARY_BATTERY_HOLDER	EDGE-LIBRARY_79523141
C1	36.70	87.70	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C10	56.25	80.62	270.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C11	99.10	78.45	180.00	56pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C12	82.58	51.35	180.00	33pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C13	98.50	80.44	270.00	2700pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C14	81.50	53.86	270.00	2700pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C15	104.90	76.18	270.00	DNP	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C16	88.00	50.36	270.00	DNP	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C17	94.84	98.15	0.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C18	74.96	65.05	0.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C19	94.88	95.05	0.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C2	23.20	133.77	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C20	129.60	36.45	0.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C21	94.82	101.85	0.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C22	74.94	68.65	0.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C23	55.37	92.45	90.00	100uF	CAPPM7343X200N
C24	74.86	71.85	0.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C25	51.45	93.38	90.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C26	49.30	93.36	90.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C27	47.10	93.38	90.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C28	100.20	34.17	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C29	114.68	42.30	180.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C3	115.08	204.50	180.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C30	121.20	35.87	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C31	29.20	162.60	180.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C32	29.18	159.70	180.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C33	48.84	143.56	180.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C34	48.83	145.80	180.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C35	48.81	147.75	180.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C36	49.29	158.75	0.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C37	49.34	154.85	0.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C38	49.29	156.65	0.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C39	42.16	192.70	180.00	27pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C4	100.44	66.35	0.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C40	48.84	192.24	90.00	27pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C41	66.50	15.92	270.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C42	70.38	12.60	0.00	10000pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C43	66.55	19.46	270.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C44	115.90	33.10	0.00	10pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C45	39.65	19.16	270.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C46	115.90	35.60	0.00	12pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C47	41.40	19.18	270.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C48	77.90	17.04	90.00	15pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C49	80.18	17.80	180.00	2700pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C5	83.24	37.85	180.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C50	77.94	12.30	180.00	DNP	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C51	95.60	25.24	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C52	93.60	25.22	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C53	91.70	25.20	270.00	22uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C54	42.18	160.60	180.00	16pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C55	33.76	162.90	180.00	16pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C56	15.55	165.39	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C57	43.20	189.90	270.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C59	46.40	177.70	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C6	104.10	69.66	90.00	10000pF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C60	17.90	165.30	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C61	19.80	165.30	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C62	22.30	165.30	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C63	35.30	146.70	270.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C64	33.10	145.20	270.00	10uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC2012X110
C65	27.80	157.30	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C66	29.50	148.50	180.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
C67	37.40	157.60	90.00	0.1uF	EDGE-LIBRARY_TUTORIAL---FUSION-360_CAPC1005X60
